id	type	language	license	institutionID	institutionCode	basisOfRecord	occurrenceID	recordedBy	recordedByID	occurrenceStatus	occurrenceRemarks	eventID	eventDate	habitat	samplingProtocol	continent	country	countryCode	stateProvince	locality	verbatimLocality	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	verbatimIdentification	identifiedBy	identifiedByID	identificationReferences	identificationRemarks	scientificName	kingdom	phylum	class	order	family	genus	vernacularName
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present		ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi	2020-02/2020-07	rainforest fragment	ad-hoc observation	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36797	76.99765	WGS84	10	Cullenia exarillata	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Cullenia exarillata	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Cullenia	CE
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:1	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:1	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Passing	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N	2020-02-11	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36797	76.99765	WGS84	10	Larvivora brunnea	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Larvivora brunnea	Animalia	Chordata	Aves	Passeriformes	Muscicapidae	Larvivora	Indian Blue Robin
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:2	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:2	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Passing	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N	2020-02-19	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36797	76.99765	WGS84	10	Platacanthomys lasiurus	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Platacanthomys lasiurus	Animalia	Chordata	Mammalia	Rodentia	Platacanthomyidae	Platacanthomys	Spiny Tailed Dormouse
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:3	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:3	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Passing	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N	2020-02-24	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36797	76.99765	WGS84	10	Gallus sonneratii	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Gallus sonneratii	Animalia	Chordata	Aves	Galliformes	Phasianidae	Gallus	Jungle Fowl
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:4	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:4	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Passing	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N	2020-02-25	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36797	76.99765	WGS84	10	Herpestes vitticollis	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Urva vitticollis	Animalia	Chordata	Mammalia	Carnivora	Herpestidae	Urva	Striped Neck Mongoose
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:5	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:5	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Predator Takes 3 and dissapears, one in mouth, two in hands. By this time ~5 seeds have disappeared, very likely the NL but not caught.	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N	2020-02-28	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36797	76.99765	WGS84	10	Semnopithecus johnii	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Semnopithecus johnii	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Semnopithecus	Nilgiri Langur
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:6	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:6	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Predator Eating in the video	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N	2020-03-01	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36797	76.99765	WGS84	10	Semnopithecus johnii	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Semnopithecus johnii	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Semnopithecus	Nilgiri Langur
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:7	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N:7	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:2|activity:Passing M|activity:Passing F	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:1N	2020-03-02	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36797	76.99765	WGS84	10	Gallus sonneratii	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Gallus sonneratii	Animalia	Chordata	Aves	Galliformes	Phasianidae	Gallus	Jungle Fowl
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present		ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi	2020-02/2020-07	rainforest fragment	ad-hoc observation	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36471	76.99802	WGS84	10	Cullenia exarillata	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Cullenia exarillata	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Cullenia	CE
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N:1	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N:1	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Passing F	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N	2020-02-23	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36471	76.99802	WGS84	10	Gallus sonneratii	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Gallus sonneratii	Animalia	Chordata	Aves	Galliformes	Phasianidae	Gallus	Jungle Fowl
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N:2	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N:2	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:4|activity:Predator Not much of its presence was captured on camera, can’t see how much is removed by it…|activity:Predator Maybe one, conservative|activity:Predator Maybe one, conservative|activity:Passing Looks like he’s taking the seeds from the exclosure, specualative	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N	2020-03-04	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36471	76.99802	WGS84	10	Semnopithecus johnii	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Semnopithecus johnii	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Semnopithecus	Nilgiri Langur
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N:3	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N:3	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Passing	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N	2020-03-08	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36471	76.99802	WGS84	10	Funambulus tristriatus	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Funambulus tristriatus	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Funambulus	Jungle Stripped Squirrel
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N:4	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N:4	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Passing Carrying nesting material?	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N	2020-03-08	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36471	76.99802	WGS84	10	Rodentia	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Rodentia	Animalia	Chordata	Mammalia	Rodentia			Rodent
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N:5	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N:5	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Passing Eating something, a flower? Or a seed?, Something in the mouth, but not from plot	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:2N	2020-03-09	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.36471	76.99802	WGS84	10	Rodentia	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Rodentia	Animalia	Chordata	Mammalia	Rodentia			Rodent
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	HumanObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present		ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi	2020-02/2020-07	rainforest fragment	ad-hoc observation	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.366827	76.99695	WGS84	10	Cullenia exarillata	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Cullenia exarillata	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Cullenia	CE
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N:1	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N:1	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:2|activity:Passing Mother and baby, might have eaten one?|activity:Passing Mother and baby	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N	2020-02-18	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.366827	76.99695	WGS84	10	Rusa unicolor	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Rusa unicolor	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Rusa	Sambar Deer
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N:10	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N:10	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Passing	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N	2020-03-17	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.366827	76.99695	WGS84	10	Paradoxurus jerdoni	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Paradoxurus jerdoni	Animalia	Chordata	Mammalia	Carnivora	Viverridae	Paradoxurus	Brown Palm Civet
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N:11	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N:11	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:1|activity:Passing	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N	2020-03-18	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.366827	76.99695	WGS84	10	Paradoxurus jerdoni	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Paradoxurus jerdoni	Animalia	Chordata	Mammalia	Carnivora	Viverridae	Paradoxurus	Brown Palm Civet
ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N:12	Dataset	en	https://creativecommons.org/licenses/by/4.0/legalcode	https://www.gbif.org/publisher/038a1133-81e2-42e8-a4dd-b5ac246eb082	NCF-India	MachineObservation	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N:12	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	present	n_detections:2|activity:Passing |activity:Passing	ncf:ncbs:arp:seed_predation:Akkamalai-Iyerpadi:Cullenia_exarillata:3N	2020-03-19	rainforest fragment	camera trap detection	Asia	India	IN	Tamil Nadu	Akkamalai-Iyerpadi | Anamalais and Valparai Plateau	36HP	10.366827	76.99695	WGS84	10	Muntiacus muntjak	Aparna Krishnan	https://orcid.org/0000-0001-9781-1157	GAMBLE, J. S. and FISCHER, C. E. C. 1935. Flora of the Presidency of Madras, Parts I to XI. Secretary of State for India, London | PASCAL, J. P., and RAMESH, B. R. 1997. A field key to the trees and lianas of the evergreen forests of the Western Ghats (India). Institut Français de Pondichéry, Pondicherry, India | S.H. Prater 1948. The Book of Indian Animal. Bombay Natural History Society, Mumbai | Menon, V., 2003. Mammals of India. Princeton University Press.	Identified by direct observation or examination of field-collected specimens and using references listed in identificationReferences	Muntiacus muntjak	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Muntiacus	Barking Deer
